chrom	start	end
NW_021705746.1	148357	148381
NW_021705746.1	148529	148545
NW_021705746.1	148558	148580
NW_021705747.1	327	343
NW_021705747.1	855	871
NW_021705747.1	1339	1355
NW_021705747.1	4065	4081
NW_021705747.1	4396	4412
NW_021705747.1	4476	4494
NW_021705747.1	5606	5622
NW_021705747.1	5682	5698
NW_021705747.1	6363	6379
NW_021705747.1	9215	9231
NW_021705747.1	9669	9685
NW_021705747.1	10215	10231
NW_021705747.1	11570	11586
NW_021705747.1	11957	11973
NW_021705747.1	12525	12541
NW_021705747.1	12619	12635
NW_021705747.1	12885	12901
NW_021705747.1	13176	13192
NW_021705747.1	13221	13237
NW_021705747.1	14394	14412
NW_021705747.1	15327	15343
NW_021705747.1	16449	16465
NW_021705747.1	16934	16950
NW_021705747.1	16980	16996
NW_021705747.1	17338	17354
NW_021705747.1	18512	18528
NW_021705747.1	18942	18958
NW_021705747.1	20750	20766
NW_021705747.1	21157	21173
NW_021705747.1	21807	21823
NW_021705747.1	22915	22931
NW_021705747.1	23031	23047
NW_021705747.1	24914	24932
NW_021705747.1	24989	25009
NW_021705747.1	25055	25077
NW_021705747.1	26867	26883
NW_021705747.1	28477	28493
NW_021705747.1	28662	28682
NW_021705747.1	28850	28866
NW_021705747.1	29691	29707
NW_021705747.1	30729	30745
NW_021705747.1	30898	30914
NW_021705747.1	31326	31342
NW_021705747.1	31587	31603
NW_021705747.1	32993	33009
NW_021705747.1	33278	33296
NW_021705747.1	34762	34786
NW_021705747.1	35218	35234
NW_021705747.1	35458	35474
NW_021705747.1	36127	36143
NW_021705747.1	36521	36539
NW_021705747.1	38715	38731
NW_021705747.1	38879	38903
NW_021705747.1	39846	39862
NW_021705747.1	42782	42798
NW_021705747.1	44186	44202
NW_021705747.1	44238	44254
NW_021705747.1	44342	44358
NW_021705747.1	49353	49369
NW_021705747.1	49723	49739
NW_021705747.1	49853	49869
NW_021705747.1	50286	50308
NW_021705747.1	52072	52088
NW_021705747.1	52506	52522
NW_021705747.1	53657	53673
NW_021705747.1	54753	54769
NW_021705747.1	54787	54803
NW_021705747.1	54948	54964
NW_021705747.1	55018	55034
NW_021705747.1	55217	55233
NW_021705747.1	55431	55447
NW_021705747.1	55680	55696
NW_021705747.1	56573	56589
NW_021705747.1	57345	57361
NW_021705747.1	57903	57921
NW_021705747.1	58210	58226
NW_021705747.1	58272	58288
NW_021705747.1	58337	58353
NW_021705747.1	59638	59654
NW_021705747.1	60590	60606
NW_021705747.1	61586	61602
NW_021705747.1	63176	63192
NW_021705747.1	64146	64162
NW_021705747.1	64678	64694
NW_021705747.1	65175	65191
NW_021705747.1	65482	65498
NW_021705747.1	66225	66243
NW_021705747.1	66432	66448
NW_021705747.1	66947	66963
NW_021705747.1	67047	67063
NW_021705747.1	68422	68438
NW_021705747.1	68589	68605
NW_021705747.1	69590	69606
NW_021705747.1	69959	69977
NW_021705747.1	70621	70645
NW_021705747.1	70928	70944
NW_021705747.1	71255	71271
NW_021705747.1	71543	71567
NW_021705747.1	71705	71721
NW_021705747.1	72099	72115
NW_021705747.1	72474	72492
NW_021705747.1	72499	72519
NW_021705747.1	73165	73185
NW_021705747.1	73442	73458
NW_021705747.1	73855	73871
NW_021705747.1	74062	74078
NW_021705747.1	74356	74372
NW_021705747.1	74542	74558
NW_021705747.1	74614	74636
NW_021705747.1	74952	74970
NW_021705747.1	75231	75247
NW_021705747.1	76672	76696
NW_021705747.1	76697	76713
NW_021705747.1	76725	76743
NW_021705747.1	76768	76792
NW_021705747.1	76934	76950
NW_021705747.1	77026	77042
NW_021705747.1	77356	77376
NW_021705747.1	77576	77592
NW_021705747.1	77596	77620
NW_021705747.1	78526	78542
NW_021705747.1	78688	78704
NW_021705747.1	79027	79043
NW_021705747.1	79151	79167
NW_021705747.1	79200	79224
NW_021705747.1	79225	79249
NW_021705747.1	79254	79276
NW_021705747.1	79454	79470
NW_021705747.1	79732	79748
NW_021705747.1	80836	80852
NW_021705747.1	80917	80933
NW_021705747.1	81505	81525
NW_021705747.1	82440	82456
NW_021705747.1	83287	83303
NW_021705747.1	83682	83698
NW_021705747.1	83836	83852
NW_021705747.1	84194	84210
NW_021705747.1	84274	84290
NW_021705747.1	84505	84525
NW_021705747.1	84717	84733
NW_021705747.1	86874	86892
NW_021705747.1	87172	87188
NW_021705747.1	87315	87331
NW_021705747.1	87526	87542
NW_021705747.1	87593	87611
NW_021705747.1	87916	87932
NW_021705747.1	87933	87949
NW_021705747.1	88327	88343
NW_021705747.1	89276	89292
NW_021705747.1	89374	89392
NW_021705747.1	89770	89790
NW_021705747.1	90497	90513
NW_021705747.1	91307	91323
NW_021705747.1	91528	91544
NW_021705747.1	91574	91590
NW_021705747.1	91650	91666
NW_021705747.1	92148	92164
NW_021705747.1	92287	92303
NW_021705747.1	92434	92450
NW_021705747.1	92687	92703
NW_021705747.1	93430	93446
NW_021705747.1	93656	93672
NW_021705747.1	94078	94094
NW_021705747.1	94298	94314
NW_021705747.1	94939	94955
NW_021705747.1	96052	96068
NW_021705747.1	96863	96883
NW_021705747.1	97113	97133
NW_021705747.1	97304	97320
NW_021705747.1	97321	97337
NW_021705747.1	97349	97365
NW_021705747.1	97555	97573
NW_021705747.1	97844	97864
NW_021705747.1	98343	98359
NW_021705747.1	99018	99034
NW_021705747.1	99357	99373
NW_021705747.1	99463	99479
NW_021705747.1	100996	101012
NW_021705747.1	101170	101186
NW_021705747.1	101624	101640
NW_021705747.1	101679	101699
NW_021705747.1	101831	101847
NW_021705747.1	101889	101909
NW_021705747.1	101910	101926
NW_021705747.1	101967	101983
NW_021705747.1	102265	102285
NW_021705747.1	102348	102364
NW_021705747.1	103755	103771
NW_021705747.1	104098	104114
NW_021705747.1	105064	105088
NW_021705747.1	105154	105170
NW_021705747.1	105256	105278
NW_021705747.1	105997	106013
NW_021705747.1	107288	107304
NW_021705747.1	107614	107630
NW_021705747.1	108070	108086
NW_021705747.1	108164	108188
NW_021705747.1	108438	108458
NW_021705747.1	109253	109269
NW_021705747.1	109523	109539
NW_021705747.1	109586	109606
NW_021705747.1	110272	110288
NW_021705747.1	110701	110717
NW_021705747.1	111394	111410
NW_021705747.1	111650	111666
NW_021705747.1	112326	112342
NW_021705747.1	112500	112516
NW_021705747.1	112579	112595
NW_021705747.1	112912	112928
NW_021705747.1	113632	113648
NW_021705747.1	113941	113965
NW_021705747.1	114090	114106
NW_021705747.1	114483	114501
NW_021705747.1	115768	115784
NW_021705747.1	115832	115848
NW_021705747.1	118668	118684
NW_021705747.1	118786	118802
NW_021705747.1	118851	118867
NW_021705747.1	119697	119713
NW_021705747.1	119815	119831
NW_021705747.1	119880	119896
NW_021705747.1	120030	120046
NW_021705747.1	120691	120707
NW_021705747.1	120923	120939
NW_021705747.1	121131	121147
NW_021705747.1	122054	122070
NW_021705747.1	122804	122820
NW_021705747.1	124009	124029
NW_021705747.1	124068	124086
NW_021705747.1	124317	124333
NW_021705747.1	124456	124472
NW_021705747.1	124666	124684
NW_021705747.1	124822	124838
NW_021705747.1	126281	126297
NW_021705747.1	126537	126553
NW_021705747.1	126890	126908
NW_021705747.1	127193	127211
NW_021705747.1	127372	127388
NW_021705747.1	127590	127606
NW_021705747.1	128206	128222
NW_021705747.1	128277	128293
NW_021705747.1	128530	128548
NW_021705747.1	128759	128777
NW_021705747.1	129132	129148
NW_021705747.1	129163	129179
NW_021705747.1	129533	129549
NW_021705747.1	129833	129849
NW_021705747.1	129873	129889
NW_021705747.1	130897	130913
NW_021705747.1	131339	131355
NW_021705747.1	131356	131372
NW_021705747.1	131644	131668
NW_021705747.1	131829	131847
NW_021705747.1	131954	131970
NW_021705747.1	132033	132051
NW_021705747.1	132123	132139
NW_021705747.1	132221	132245
NW_021705747.1	132537	132553
NW_021705747.1	133120	133136
NW_021705747.1	133168	133184
NW_021705747.1	133833	133849
NW_021705747.1	134739	134755
NW_021705747.1	134832	134848
NW_021705747.1	135343	135361
NW_021705747.1	135545	135569
NW_021705747.1	135627	135643
NW_021705747.1	135888	135906
NW_021705747.1	136726	136750
NW_021705747.1	137493	137513
NW_021705747.1	137747	137765
NW_021705747.1	137901	137919
NW_021705747.1	137998	138014
NW_021705747.1	138174	138190
NW_021705747.1	138261	138277
NW_021705748.1	3651	3667
NW_021705748.1	5052	5068
NW_021705748.1	6632	6648
NW_021705748.1	7309	7331
NW_021705748.1	9518	9534
NW_021705748.1	10377	10393
NW_021705748.1	12249	12265
NW_021705748.1	13753	13769
NW_021705748.1	14381	14399
NW_021705748.1	14439	14455
NW_021705748.1	14497	14513
NW_021705748.1	15970	15986
NW_021705748.1	16217	16233
NW_021705748.1	16867	16891
NW_021705748.1	17078	17094
NW_021705748.1	19539	19555
NW_021705748.1	19900	19918
NW_021705748.1	20504	20520
NW_021705748.1	22703	22719
NW_021705748.1	23234	23250
NW_021705748.1	23814	23830
NW_021705748.1	23956	23974
NW_021705748.1	24320	24336
NW_021705748.1	24390	24406
NW_021705748.1	24572	24588
NW_021705748.1	24884	24900
NW_021705748.1	25363	25379
NW_021705748.1	28992	29008
NW_021705748.1	29738	29754
NW_021705748.1	29807	29823
NW_021705748.1	30015	30031
NW_021705748.1	30114	30132
NW_021705748.1	30731	30747
NW_021705748.1	31272	31288
NW_021705748.1	32324	32344
NW_021705748.1	33529	33545
NW_021705748.1	34438	34454
NW_021705748.1	39206	39224
NW_021705748.1	41219	41235
NW_021705748.1	41386	41402
NW_021705748.1	42370	42386
NW_021705748.1	42728	42746
NW_021705748.1	43570	43586
NW_021705748.1	44692	44708
NW_021705748.1	45270	45286
NW_021705748.1	45451	45467
NW_021705748.1	46641	46657
NW_021705748.1	46738	46754
NW_021705748.1	49397	49413
NW_021705748.1	50609	50625
NW_021705748.1	50918	50934
NW_021705748.1	50966	50982
NW_021705748.1	52112	52128
NW_021705748.1	52775	52791
NW_021705748.1	53173	53189
NW_021705748.1	53702	53718
NW_021705748.1	55641	55657
NW_021705748.1	56879	56897
NW_021705748.1	58955	58973
NW_021705748.1	59473	59497
NW_021705748.1	60634	60658
NW_021705748.1	61317	61333
NW_021705748.1	61582	61598
NW_021705748.1	62357	62375
NW_021705748.1	63176	63192
NW_021705748.1	64340	64356
NW_021705748.1	65557	65573
NW_021705748.1	65723	65739
NW_021705748.1	67325	67341
NW_021705748.1	67393	67409
NW_021705748.1	67514	67530
NW_021705748.1	68351	68367
NW_021705748.1	68457	68473
NW_021705748.1	68607	68623
NW_021705748.1	69973	69991
NW_021705748.1	70002	70022
NW_021705748.1	70579	70595
NW_021705748.1	74172	74192
NW_021705748.1	74452	74472
NW_021705748.1	75369	75389
NW_021705748.1	75874	75892
NW_021705748.1	76121	76137
NW_021705748.1	77784	77804
NW_021705748.1	77816	77832
NW_021705748.1	77956	77972
NW_021705748.1	78510	78530
NW_021705748.1	79603	79619
NW_021705748.1	79950	79966
NW_021705748.1	80449	80465
NW_021705748.1	80836	80852
NW_021705748.1	82716	82732
NW_021705748.1	84445	84461
NW_021705748.1	84501	84517
NW_021705748.1	84635	84651
NW_021705748.1	84716	84736
NW_021705748.1	85312	85328
NW_021705748.1	85489	85507
NW_021705748.1	85743	85759
NW_021705748.1	87198	87214
NW_021705748.1	91005	91021
NW_021705748.1	92137	92153
NW_021705748.1	93099	93123
NW_021705748.1	94319	94337
NW_021705748.1	94872	94888
NW_021705748.1	94998	95014
NW_021705748.1	96626	96642
NW_021705748.1	96792	96808
NW_021705748.1	96844	96862
NW_021705748.1	98908	98924
NW_021705748.1	99225	99241
NW_021705748.1	99571	99587
NW_021705748.1	99997	100013
NW_021705748.1	103155	103173
NW_021705748.1	103754	103770
NW_021705748.1	104208	104224
NW_021705748.1	104323	104339
NW_021705748.1	106407	106423
NW_021705748.1	106699	106715
NW_021705748.1	106814	106830
NW_021705748.1	107035	107053
NW_021705748.1	111747	111763
NW_021705748.1	112961	112977
NW_021705748.1	114054	114070
NW_021705748.1	114709	114725
NW_021705748.1	115977	115993
NW_021705748.1	121877	121899
NW_021705748.1	122152	122168
NW_021705749.1	148	172
NW_021705749.1	229	247
NW_021705749.1	529	545
NW_021705749.1	737	753
NW_021705749.1	945	961
NW_021705749.1	1100	1116
NW_021705749.1	2902	2926
NW_021705749.1	3013	3029
NW_021705749.1	3084	3100
NW_021705749.1	3457	3473
NW_021705749.1	5077	5093
NW_021705749.1	5520	5536
NW_021705749.1	5574	5590
NW_021705749.1	5694	5710
NW_021705749.1	6346	6362
NW_021705749.1	6441	6457
NW_021705749.1	6805	6821
NW_021705749.1	7121	7137
NW_021705749.1	7254	7270
NW_021705749.1	7541	7561
NW_021705749.1	8378	8394
NW_021705749.1	8669	8687
NW_021705749.1	8741	8757
NW_021705749.1	8948	8966
NW_021705749.1	8975	8997
NW_021705749.1	10969	10985
NW_021705749.1	11030	11046
NW_021705749.1	12423	12443
NW_021705749.1	12606	12622
NW_021705749.1	13786	13804
NW_021705749.1	13968	13984
NW_021705749.1	14734	14752
NW_021705749.1	15120	15140
NW_021705749.1	16669	16685
NW_021705749.1	17142	17158
NW_021705749.1	17570	17586
NW_021705749.1	18297	18313
NW_021705749.1	19388	19406
NW_021705749.1	19750	19766
NW_021705749.1	19957	19975
NW_021705749.1	20183	20199
NW_021705749.1	20481	20497
NW_021705749.1	21127	21143
NW_021705749.1	21736	21752
NW_021705749.1	22059	22075
NW_021705749.1	22360	22376
NW_021705749.1	22701	22717
NW_021705749.1	23009	23025
NW_021705749.1	23355	23371
NW_021705749.1	23446	23462
NW_021705749.1	23534	23550
NW_021705749.1	23823	23843
NW_021705749.1	23927	23947
NW_021705749.1	24844	24860
NW_021705749.1	24999	25015
NW_021705749.1	25061	25077
NW_021705749.1	26290	26306
NW_021705749.1	27586	27602
NW_021705749.1	27658	27674
NW_021705749.1	27800	27818
NW_021705749.1	28129	28145
NW_021705749.1	28897	28913
NW_021705749.1	29396	29414
NW_021705749.1	30338	30362
NW_021705749.1	30443	30461
NW_021705749.1	30671	30687
NW_021705749.1	30880	30896
NW_021705749.1	31884	31900
NW_021705749.1	31954	31978
NW_021705749.1	33713	33729
NW_021705749.1	34546	34562
NW_021705749.1	34731	34747
NW_021705749.1	35214	35230
NW_021705749.1	35434	35450
NW_021705749.1	36695	36711
NW_021705749.1	36999	37015
NW_021705749.1	37393	37409
NW_021705749.1	37425	37441
NW_021705749.1	37628	37644
NW_021705749.1	37984	38000
NW_021705749.1	38600	38618
NW_021705749.1	40034	40056
NW_021705749.1	40220	40236
NW_021705749.1	40631	40647
NW_021705749.1	41336	41352
NW_021705749.1	41514	41530
NW_021705749.1	42880	42898
NW_021705749.1	43797	43813
NW_021705749.1	45077	45097
NW_021705749.1	45426	45446
NW_021705749.1	45451	45467
NW_021705749.1	45782	45802
NW_021705749.1	45807	45823
NW_021705749.1	45852	45876
NW_021705749.1	45877	45893
NW_021705749.1	46425	46441
NW_021705749.1	46563	46583
NW_021705749.1	47147	47163
NW_021705749.1	47396	47412
NW_021705749.1	47758	47776
NW_021705749.1	49252	49268
NW_021705749.1	50420	50436
NW_021705749.1	50872	50890
NW_021705749.1	51029	51045
NW_021705749.1	51244	51260
NW_021705749.1	51296	51314
NW_021705749.1	53422	53440
NW_021705749.1	54148	54164
