family	gene	coordinates
AAA	TraAM80_05735	7023-9162
AAA	TraAM80_04453	27681-34185
AAA	TraAM80_02265	48362-51821
AAA	TraAM80_07206	1949-3062
AAA	TraAM80_04808	27593-28127
AAA	TraAM80_00395	2215-3763
AAA	TraAM80_01073	33185-33929
AAA	TraAM80_06092	18459-20244
AAA	TraAM80_06591	22283-23423
AAA	TraAM80_02179	68439-69420
AAA	TraAM80_02875	4118-4655
AAA	TraAM80_03162	45046-51379
AAA	TraAM80_08432	11381-12257
AAA	TraAM80_08334	6699-8145
AAA	TraAM80_01488	54535-56791
AAA	TraAM80_03283	1306-4189
AAA	TraAM80_06400	3667-4030
AAA	TraAM80_07336	17174-17906
AAA	TraAM80_07560	229-2323
AAA	TraAM80_01601	70564-71347
AAA_22	TraAM80_05518	13019-26840
AAA_22	TraAM80_09289	6247-8908
AAA_22	TraAM80_04794	23099-32627
AAA_22	TraAM80_09829	780-2649
AAA_22	TraAM80_08145	784-9802
AAA_22	TraAM80_02191	16331-16778
AAA_22	TraAM80_02472	60095-68420
AAA_22	TraAM80_02681	30452-44285
AAA_22	TraAM80_09287	2227-4174
AAA_22	TraAM80_04166	30616-31930
AAA_22	TraAM80_02544	29116-31099
AAA_22	TraAM80_03315	40235-41099
AAA_22	TraAM80_05442	3261-5586
AAA_22	TraAM80_00325	99128-100742
AAA_22	TraAM80_08653	8069-10412
AAA_22	TraAM80_04197	32202-33225
AAA_22	TraAM80_06306	516-3099
AAA_22	TraAM80_03162	45046-51379
AAA_22	TraAM80_05180	6070-18718
AAA_22	TraAM80_01286	67721-68507
AAA_22	TraAM80_06591	22283-23423
AAA_22	TraAM80_08395	4602-7206
AAA_22	TraAM80_01630	39848-53870
AAA_22	TraAM80_01394	27996-29313
AAA_22	TraAM80_00273	106971-120963
AAA_22	TraAM80_09420	6803-7817
AAA_22	TraAM80_05445	7781-9161
AAA_22	TraAM80_06541	11396-13247
AAA_22	TraAM80_02913	9692-10619
AAA_22	TraAM80_09101	255-3438
AAA_22	TraAM80_04965	19879-21052
AAA_22	TraAM80_05757	36432-37323
AAA_22	TraAM80_03675	18364-20188
AAA_22	TraAM80_02833	56920-58792
AAA_22	TraAM80_08388	9378-11124
AAA_22	TraAM80_08741	3443-3830
AAA_22	TraAM80_02767	21064-33415
AAA_22	TraAM80_09185	3791-4859
AAA_22	TraAM80_02517	34997-36194
AAA_22	TraAM80_00974	67024-68764
AAA_22	TraAM80_01680	78650-81563
AAA_22	TraAM80_03633	28506-29703
AAA_22	TraAM80_01920	41524-42559
AAA_22	TraAM80_05701	20751-21111
AAA_22	TraAM80_03879	14960-15593
AAA_22	TraAM80_05682	29114-30572
AAA_22	TraAM80_00819	60099-66546
AAA_22	TraAM80_06956	4226-7088
AAA_22	TraAM80_01385	6441-10101
AAA_22	TraAM80_01439	37692-40485
AAA_22	TraAM80_01131	66390-68535
AAA_22	TraAM80_07193	12688-14665
AAA_22	TraAM80_04372	9912-16605
AAA_22	TraAM80_01447	61808-63017
AAA_22	TraAM80_04152	45116-46430
AAA_22	TraAM80_00431	85418-87860
AAA_22	TraAM80_03938	14541-17214
AAA_22	TraAM80_00014	35316-36531
AAA_22	TraAM80_08440	10411-11770
AAA_22	TraAM80_06410	19876-22093
AAA_22	TraAM80_07082	23749-25249
AAA_22	TraAM80_03283	1306-4189
AAA_22	TraAM80_05606	8302-9628
AAA_22	TraAM80_02059	5703-6999
AAA_22	TraAM80_00517	57376-59122
AAA_22	TraAM80_05276	35458-37381
AAA_22	TraAM80_05072	38878-40666
AAA_22	TraAM80_01734	26901-40815
AAA_22	TraAM80_04515	7110-8841
AAA_22	TraAM80_00791	2460-5016
AAA_22	TraAM80_01303	12858-17619
AAA_22	TraAM80_00395	2215-3763
AAA_22	TraAM80_08581	1619-5372
AAA_22	TraAM80_04996	30547-33517
AAA_22	TraAM80_02265	48362-51821
AAA_22	TraAM80_04836	38987-41006
AAA_22	TraAM80_01710	62755-63481
AAA_22	TraAM80_04882	12359-19100
AAA_22	TraAM80_08232	6538-9871
AAA_22	TraAM80_00411	35898-36438
AAA_22	TraAM80_04303	7439-8270
AAA_22	TraAM80_04050	8162-9389
AAA_22	TraAM80_02022	13690-15112
AAA_22	TraAM80_03662	103-1441
AAA_22	TraAM80_02345	60480-62211
AAA_22	TraAM80_00441	107007-107802
AAA_22	TraAM80_07679	3655-7441
AAA_22	TraAM80_00386	106622-108413
AAA_22	TraAM80_04487	38011-38782
AAA_22	TraAM80_01474	17359-18631
AAA_22	TraAM80_06299	10339-11566
AAA_22	TraAM80_03122	19067-19700
AAA_22	TraAM80_07336	17174-17906
AAA_22	TraAM80_04948	36189-40389
AAA_22	TraAM80_00065	138657-139557
AAA_22	TraAM80_08432	11381-12257
AAA_22	TraAM80_01195	84933-88188
AAA_22	TraAM80_04320	4501-6496
AAA_22	TraAM80_08022	5919-7107
AAA_22	TraAM80_02530	66512-68534
AAA_22	TraAM80_04453	27681-34185
AAA_22	TraAM80_02080	40148-42737
AAA_22	TraAM80_06794	381-3438
AAA_22	TraAM80_07210	8783-10349
AAA_22	TraAM80_02000	53091-53649
AAA_22	TraAM80_03508	6748-7354
AAA_22	TraAM80_00417	46426-59983
AAA_22	TraAM80_04698	37714-39778
AAA_22	TraAM80_04793	17068-22924
AAA_22	TraAM80_07362	355-712
AAA_22	TraAM80_05101	13978-14980
AAA_22	TraAM80_02224	22294-24769
AAA_22	TraAM80_07297	2127-4260
AAA_22	TraAM80_07903	16927-18835
AAA_22	TraAM80_00756	9038-11213
AAA_22	TraAM80_03310	27451-27949
AAA_22	TraAM80_02179	68439-69420
AAA_22	TraAM80_03923	39194-40613
AAA_22	TraAM80_06978	406-2578
AAA_22	TraAM80_08240	11943-13263
AAA_22	TraAM80_06520	19909-20746
AAA_22	TraAM80_04894	34622-37139
AAA_22	TraAM80_03124	23558-24797
AAA_22	TraAM80_09402	4400-7922
AAA_22	TraAM80_05068	29660-30233
AAA_22	TraAM80_04617	19081-19804
AAA_22	TraAM80_07560	229-2323
AAA_22	TraAM80_00836	194-1964
AAA_22	TraAM80_01766	15400-19312
AAA_22	TraAM80_08190	12684-13305
AAA_22	TraAM80_05852	9294-9948
AAA_22	TraAM80_04275	46428-47091
AAA_22	TraAM80_01488	54535-56791
AAA_22	TraAM80_10576	970-1846
AAA_22	TraAM80_03910	12424-14383
AAA_22	TraAM80_00912	52182-53631
AAA_22	TraAM80_09933	2221-2683
AAA_22	TraAM80_05881	9240-10419
AAA_22	TraAM80_08621	4256-6062
AAA_22	TraAM80_06549	1036-1942
AAA_22	TraAM80_09328	7640-8989
AAA_22	TraAM80_08834	6207-6567
AAA_22	TraAM80_02280	7351-8140
AAA_22	TraAM80_05570	11367-11742
AAA_22	TraAM80_06092	18459-20244
AAA_22	TraAM80_04243	30702-33036
AAA_22	TraAM80_06183	28309-28933
AAA_22	TraAM80_01439	37692-40485
AAA_22	TraAM80_02031	27185-29675
AAA_22	TraAM80_01160	26689-28714
AAA_22	TraAM80_09636	945-4641
AAA_22	TraAM80_06400	3667-4030
AAA_22	TraAM80_00606	10160-10793
AAA_22	TraAM80_09649	2564-3341
AAA_22	TraAM80_03687	51898-52648
AAA_22	TraAM80_06779	21832-24706
AAA_22	TraAM80_10180	432-1314
AAA_22	TraAM80_00811	47454-48528
AAA_22	TraAM80_03749	17061-19029
AAA_22	TraAM80_04860	286-1486
AAA_22	TraAM80_10145	498-1875
AAA_22	TraAM80_04685	6186-10176
AAA_22	TraAM80_10132	1118-2018
AAA_22	TraAM80_10532	142-2082
AAA_22	TraAM80_07052	12447-14289
AAA_22	TraAM80_04035	17027-20978
AAA_22	TraAM80_09572	1248-4053
AAA_22	TraAM80_01284	60511-61012
AAA_22	TraAM80_07253	10893-12396
AAA_22	TraAM80_04104	15569-19886
AAA_22	TraAM80_06072	441-1101
AAA_22	TraAM80_06001	10386-11526
AAA_22	TraAM80_01771	32938-34927
AAA_22	TraAM80_07829	4464-6801
AAA_22	TraAM80_09907	1277-1985
AAA_22	TraAM80_00714	2069-4721
AAA_22	TraAM80_01857	65798-66371
AAA_22	TraAM80_10022	1629-2661
AAA_22	TraAM80_04416	5779-8149
AAA_22	TraAM80_00749	91434-91794
AAA_22	TraAM80_05320	649-2047
AAA_22	TraAM80_10526	307-2071
AAA_22	TraAM80_08040	4947-5574
AAA_22	TraAM80_02052	66544-70012
AAA_22	TraAM80_00018	48734-49274
AAA_22	TraAM80_07797	13928-16202
AAA_22	TraAM80_07657	627-2874
AAA_22	TraAM80_10103	1231-2425
AAA_22	TraAM80_04189	16321-17275
AAA_22	TraAM80_06883	4742-7631
AAA_22	TraAM80_03588	481-3322
AAA_22	TraAM80_08035	8566-12292
AAA_22	TraAM80_01413	74658-77157
AAA_22	TraAM80_01601	70564-71347
AAA_22	TraAM80_02022	13690-15112
AAA_22	TraAM80_02060	7851-8901
AAA_22	TraAM80_05725	20115-22509
AAA_22	TraAM80_02406	58099-59935
AAA_22	TraAM80_00209	97492-100618
AAA_22	TraAM80_05406	5842-8110
AAA_22	TraAM80_01694	27710-30185
AAA_22	TraAM80_02721	50169-54258
AAA_22	TraAM80_05578	32552-35225
AAA_22	TraAM80_00211	102342-104577
AAA_22	TraAM80_00809	41846-45896
AAA_22	TraAM80_03653	22286-24548
AAA_22	TraAM80_03654	24741-26961
Abhydrolase_5	TraAM80_08937	497-2360
Abhydrolase_5	TraAM80_03137	55192-56131
Abhydrolase_5	TraAM80_09952	3528-4500
Acetyltransf_1	TraAM80_05196	40331-40778
Acetyltransf_1	TraAM80_03515	16224-16986
Acetyltransf_1	TraAM80_01582	38359-39469
Acetyltransf_1	TraAM80_06979	2982-3375
Acetyltransf_1	TraAM80_09057	696-1596
Acetyltransf_1	TraAM80_03149	20377-20971
Acetyltransf_1	TraAM80_07592	8368-8929
Acetyltransf_1	TraAM80_05810	31803-32334
Acetyltransf_1	TraAM80_01623	25577-27572
Acetyltransf_1	TraAM80_05603	5086-5443
Acetyltransf_1	TraAM80_00144	132062-132719
Acetyltransf_1	TraAM80_01027	18236-19472
Acetyltransf_1	TraAM80_02099	70259-71108
Acetyltransf_1	TraAM80_07525	3831-6009
Acetyltransf_1	TraAM80_03272	43066-43513
Acetyltransf_1	TraAM80_09243	4447-4864
Acetyltransf_1	TraAM80_01847	48434-49025
Acetyltransf_7	TraAM80_06979	2982-3375
Acetyltransf_7	TraAM80_05196	40331-40778
Acetyltransf_7	TraAM80_01582	38359-39469
Acetyltransf_7	TraAM80_09057	696-1596
Acetyltransf_7	TraAM80_07592	8368-8929
Acetyltransf_7	TraAM80_03149	20377-20971
Acetyltransf_7	TraAM80_03515	16224-16986
Acetyltransf_7	TraAM80_03272	43066-43513
Acetyltransf_7	TraAM80_02099	70259-71108
Acetyltransf_7	TraAM80_09243	4447-4864
Acetyltransf_7	TraAM80_01027	18236-19472
Acetyltransf_7	TraAM80_01847	48434-49025
Acetyltransf_7	TraAM80_00144	132062-132719
Acetyltransf_7	TraAM80_01623	25577-27572
Acetyltransf_7	TraAM80_00720	22001-22499
Actin	TraAM80_09046	250-1381
Actin	TraAM80_05098	8877-11013
Actin	TraAM80_08928	9921-11088
Actin	TraAM80_06017	3931-5182
Actin	TraAM80_06286	10183-11389
Actin	TraAM80_02115	20821-21964
Actin	TraAM80_00302	49539-50721
Actin	TraAM80_03008	3651-4944
Actin	TraAM80_04758	33861-35121
Actin	TraAM80_03534	0-406
Actin	TraAM80_02696	62926-64045
Actin	TraAM80_04587	17907-18456
Actin	TraAM80_05375	20451-21471
Actin	TraAM80_07937	4495-5266
Actin	TraAM80_00124	89195-90119
Amino_oxidase	TraAM80_01880	32196-33639
Amino_oxidase	TraAM80_01351	23337-24138
AMPKBI	TraAM80_07265	6787-7744
Ank	TraAM80_03500	38523-47622
Ank	TraAM80_08755	11534-12557
Ank	TraAM80_00976	72172-73414
Ank	TraAM80_05718	1687-5383
Ank	TraAM80_00329	104618-105803
Ank	TraAM80_00557	14074-14710
Ank	TraAM80_06604	18096-20700
Ank	TraAM80_03638	42619-44698
Ank	TraAM80_03548	30299-31451
Ank	TraAM80_08559	1678-2752
Ank	TraAM80_03222	57963-58575
Ank	TraAM80_00698	79799-80939
Ank	TraAM80_01049	63382-64273
Ank	TraAM80_01738	48781-49696
Ank	TraAM80_00854	43790-45452
Ank	TraAM80_07109	685-10987
Ank	TraAM80_04808	27593-28127
Ank	TraAM80_03649	15299-16925
Ank	TraAM80_06231	17180-19301
Ank	TraAM80_02402	49015-51094
Ank	TraAM80_02162	32932-34840
Ank	TraAM80_03777	21489-23166
Ank	TraAM80_00827	83523-84216
Ank	TraAM80_07372	17284-18355
Ank	TraAM80_07377	3693-5583
Ank	TraAM80_04158	8149-8575
Ank	TraAM80_01288	73259-76208
Ank_2	TraAM80_03500	38523-47622
Ank_2	TraAM80_05718	1687-5383
Ank_2	TraAM80_00329	104618-105803
Ank_2	TraAM80_08755	11534-12557
Ank_2	TraAM80_03638	42619-44698
Ank_2	TraAM80_00976	72172-73414
Ank_2	TraAM80_08559	1678-2752
Ank_2	TraAM80_03548	30299-31451
Ank_2	TraAM80_07109	685-10987
Ank_2	TraAM80_06604	18096-20700
Ank_2	TraAM80_00557	14074-14710
Ank_2	TraAM80_03222	57963-58575
Ank_2	TraAM80_01049	63382-64273
Ank_2	TraAM80_02402	49015-51094
Ank_2	TraAM80_01738	48781-49696
Ank_2	TraAM80_04808	27593-28127
Ank_2	TraAM80_03649	15299-16925
Ank_2	TraAM80_02162	32932-34840
Ank_2	TraAM80_00827	83523-84216
Ank_2	TraAM80_00854	43790-45452
Ank_2	TraAM80_00698	79799-80939
Ank_2	TraAM80_03777	21489-23166
Ank_2	TraAM80_06231	17180-19301
Ank_2	TraAM80_07377	3693-5583
Ank_2	TraAM80_04158	8149-8575
Ank_2	TraAM80_08117	10807-12274
Ank_2	TraAM80_07372	17284-18355
Ank_2	TraAM80_07029	17142-18357
Ank_2	TraAM80_07574	8823-11862
Ank_2	TraAM80_03321	4514-6770
Ank_2	TraAM80_07466	17001-21768
Ank_2	TraAM80_05746	17984-18827
Ank_2	TraAM80_01288	73259-76208
Ank_2	TraAM80_06487	23330-24308
Ank_2	TraAM80_02081	43024-44236
Ank_4	TraAM80_03500	38523-47622
Ank_4	TraAM80_05718	1687-5383
Ank_4	TraAM80_00329	104618-105803
Ank_4	TraAM80_00976	72172-73414
Ank_4	TraAM80_08559	1678-2752
Ank_4	TraAM80_03222	57963-58575
Ank_4	TraAM80_00557	14074-14710
Ank_4	TraAM80_06604	18096-20700
Ank_4	TraAM80_08755	11534-12557
Ank_4	TraAM80_01049	63382-64273
Ank_4	TraAM80_03548	30299-31451
Ank_4	TraAM80_03638	42619-44698
Ank_4	TraAM80_07109	685-10987
Ank_4	TraAM80_01738	48781-49696
Ank_4	TraAM80_00827	83523-84216
Ank_4	TraAM80_00698	79799-80939
Ank_4	TraAM80_04808	27593-28127
Ank_4	TraAM80_02402	49015-51094
Ank_4	TraAM80_06231	17180-19301
Ank_4	TraAM80_03777	21489-23166
Ank_4	TraAM80_00854	43790-45452
Ank_4	TraAM80_07377	3693-5583
Ank_4	TraAM80_07029	17142-18357
Ank_4	TraAM80_02162	32932-34840
Ank_4	TraAM80_03649	15299-16925
Ank_4	TraAM80_04158	8149-8575
Ank_4	TraAM80_08117	10807-12274
Ank_4	TraAM80_07372	17284-18355
Ank_4	TraAM80_03321	4514-6770
Ank_4	TraAM80_07466	17001-21768
Ank_4	TraAM80_05746	17984-18827
Arrestin_C	TraAM80_02213	70911-72234
Arrestin_N	TraAM80_02653	40190-41990
Arrestin_N	TraAM80_06435	31076-31394
ASF1_hist_chap	TraAM80_06909	2272-2764
ASF1_hist_chap	TraAM80_05799	7351-7966
ASF1_hist_chap	TraAM80_10089	1132-1585
ASF1_hist_chap	TraAM80_08811	5247-5799
ASF1_hist_chap	TraAM80_09468	3685-4237
Atrophin-1	TraAM80_05944	10945-11446
AT_hook	TraAM80_08186	3706-5923
AT_hook	TraAM80_00036	83190-84432
BACK	TraAM80_00359	33035-33389
BACK	TraAM80_02705	16095-17715
BPL_LplA_LipB	TraAM80_02107	4594-5329
BPL_LplA_LipB	TraAM80_06485	15415-16969
BRCA-2_OB1	TraAM80_06910	3274-6211
BRCA-2_OB3	TraAM80_09344	898-2629
BRCA2	TraAM80_06910	3274-6211
BRCA2	TraAM80_06910	3274-6211
BRCA2	TraAM80_07580	20741-21368
BRCA2	TraAM80_09684	0-587
BRCT	TraAM80_03594	11332-13705
BRCT	TraAM80_04074	12364-14605
BRCT	TraAM80_04622	29994-30804
BRCT	TraAM80_07188	18901-24058
BRCT	TraAM80_02184	7297-8509
BRCT	TraAM80_06683	5074-5842
BRCT	TraAM80_04435	40007-41768
BRCT	TraAM80_00902	32484-33639
BRE	TraAM80_04466	5856-6210
BRE	TraAM80_00313	73472-74351
Bromodomain	TraAM80_03921	37435-37885
Bromodomain	TraAM80_02084	46500-47388
Bromodomain	TraAM80_02108	6601-7267
Bromodomain	TraAM80_01283	58143-60270
Bromodomain	TraAM80_08359	15053-15562
Bromodomain	TraAM80_08581	1619-5372
Bromodomain	TraAM80_09006	1619-2693
Bromo_TP	TraAM80_03659	45507-48174
Bromo_TP	TraAM80_01525	30100-30403
Bromo_TP	TraAM80_05247	3705-4056
Bromo_TP	TraAM80_08930	421-823
BTB	TraAM80_00359	33035-33389
BTB	TraAM80_07841	16231-19339
BTB	TraAM80_06190	10474-11206
BTB	TraAM80_02346	62515-63403
bZIP_1	TraAM80_06049	27834-28398
bZIP_1	TraAM80_03749	17061-19029
bZIP_1	TraAM80_02781	60367-61399
bZIP_1	TraAM80_02201	50201-50690
bZIP_1	TraAM80_07305	17426-18233
bZIP_1	TraAM80_02125	41850-42285
bZIP_1	TraAM80_00709	96356-97043
bZIP_1	TraAM80_07296	813-1194
bZIP_1	TraAM80_01839	37481-38963
bZIP_1	TraAM80_02776	45102-46902
bZIP_1	TraAM80_02590	38817-41070
bZIP_1	TraAM80_08092	0-1919
bZIP_1	TraAM80_09756	3243-4164
bZIP_1	TraAM80_09632	4981-6227
bZIP_1	TraAM80_06490	27114-27582
C1_1	TraAM80_02874	2855-3890
C1_1	TraAM80_00198	65042-67811
C1_1	TraAM80_05783	15907-16774
C1_1	TraAM80_07481	4332-4701
C1_1	TraAM80_07325	4902-6261
C1_1	TraAM80_07449	10564-14125
C1_1	TraAM80_01309	31423-33496
C1_1	TraAM80_06046	24093-25491
C1_1	TraAM80_03485	15434-16094
C1_1	TraAM80_04873	33704-34112
C2	TraAM80_00009	20474-25994
C2	TraAM80_03120	17427-17982
C2	TraAM80_04305	11722-14920
C2	TraAM80_01884	40060-41932
C2	TraAM80_05139	7291-11083
C2	TraAM80_04308	22666-27745
C2	TraAM80_00011	27444-30285
C2	TraAM80_07614	11852-13691
C2	TraAM80_06231	17180-19301
C2	TraAM80_05404	39309-41475
C2	TraAM80_00009	20474-25994
C2	TraAM80_06056	6536-7607
C2	TraAM80_06858	9491-12305
C2	TraAM80_08460	781-3904
C2	TraAM80_06058	10863-12930
C2	TraAM80_04865	10912-11260
C2	TraAM80_01682	0-1224
C2	TraAM80_03122	19067-19700
CAF-1_p150	TraAM80_01226	55210-57022
CAF-1_p60_C	TraAM80_01947	15985-16426
CAF1A	TraAM80_01824	78246-80364
CAF1C_H4-bd	TraAM80_00106	54556-56596
CAF1C_H4-bd	TraAM80_07356	14045-15785
CAF1C_H4-bd	TraAM80_00319	89135-90914
CBFD_NFYB_HMF	TraAM80_01119	42421-43348
CBFD_NFYB_HMF	TraAM80_04904	7940-8411
CBFD_NFYB_HMF	TraAM80_08930	421-823
CBFD_NFYB_HMF	TraAM80_03659	45507-48174
CBFD_NFYB_HMF	TraAM80_05743	15346-15628
CBFD_NFYB_HMF	TraAM80_05740	13000-13339
CBFD_NFYB_HMF	TraAM80_05740	13000-13339
CBFD_NFYB_HMF	TraAM80_05348	10007-11945
CBFD_NFYB_HMF	TraAM80_07661	8889-9285
CBFD_NFYB_HMF	TraAM80_01525	30100-30403
CBFD_NFYB_HMF	TraAM80_05247	3705-4056
CBS	TraAM80_04761	40087-41587
CBS	TraAM80_02343	55034-56159
CBS	TraAM80_07630	19487-20963
CBS	TraAM80_03555	43032-45972
CBS	TraAM80_00499	19908-22635
CBS	TraAM80_01877	24212-26414
CBS	TraAM80_02829	46594-47527
CBS	TraAM80_01593	57480-59616
CBS	TraAM80_00608	13546-14773
CBS	TraAM80_01875	21318-21702
CBS	TraAM80_00946	10113-11259
CBS	TraAM80_01499	78856-80260
CBS	TraAM80_02940	1063-2014
Cdc6_C	TraAM80_00386	106622-108413
CDC73_C	TraAM80_02131	51350-52490
CENP-C_C	TraAM80_00530	80545-82621
Chromo	TraAM80_01846	47143-48052
Chromo_shadow	TraAM80_04239	24621-25068
CHZ	TraAM80_09262	5827-6628
CHZ	TraAM80_09487	5623-6310
Cir_N	TraAM80_05961	11798-12536
Cir_N	TraAM80_03069	20823-21168
CNH	TraAM80_02247	8640-11595
CNH	TraAM80_00467	51082-53695
Cohesin_HEAT	TraAM80_03198	4919-9518
CpG_bind_C	TraAM80_01870	11447-13709
CpG_bind_C	TraAM80_10589	0-535
CPSF_A	TraAM80_00838	4180-8491
CPSF_A	TraAM80_06447	19107-19434
CPSF_A	TraAM80_06086	375-1083
CPSF_A	TraAM80_04098	1307-3089
CPSF_A	TraAM80_00317	83592-85599
Cullin	TraAM80_07213	14352-16575
Cullin	TraAM80_03929	48603-50736
Cullin	TraAM80_00732	50835-52176
Cullin	TraAM80_07056	21520-23953
Cullin	TraAM80_07161	10500-13581
Cullin	TraAM80_08827	7157-9503
Cullin	TraAM80_09422	1614-2079
Cullin	TraAM80_07878	10311-11274
Cullin_Nedd8	TraAM80_07213	14352-16575
Cullin_Nedd8	TraAM80_07880	14015-15065
Cullin_Nedd8	TraAM80_07161	10500-13581
Cullin_Nedd8	TraAM80_03929	48603-50736
Cullin_Nedd8	TraAM80_00732	50835-52176
Cullin_Nedd8	TraAM80_07056	21520-23953
Cullin_Nedd8	TraAM80_09422	1614-2079
Cupin_8	TraAM80_07333	7770-9165
Cupin_8	TraAM80_00585	67971-71178
Cupin_8	TraAM80_05210	20518-22186
Cupin_8	TraAM80_07474	13310-14630
Cupin_8	TraAM80_08356	7821-9969
dCMP_cyt_deam_1	TraAM80_01806	36685-37180
dCMP_cyt_deam_1	TraAM80_01650	11945-12503
dCMP_cyt_deam_1	TraAM80_08950	3818-4934
dCMP_cyt_deam_1	TraAM80_03618	51407-52175
DDT	TraAM80_02457	27130-29968
DEAD	TraAM80_03162	45046-51379
DEAD	TraAM80_07530	13787-14879
DEAD	TraAM80_03998	45123-46653
